,name,city,state
0,NorthGate Brewing ,Minneapolis,Minestota
1,Against the Grain Brewery,Louisville,Kentucky
2,Jack's Abby Craft Lagers,Framingham,Massachusetts
3,Mike Hess Brewing Company,San Diego,California
4,Fort Point Beer Company,San Francisco,California
5,COAST Brewing Company,Charleston,South Carolina
6,Great Divide Brewing Company,Denver,Colorado
7,Tapistry Brewing,Bridgman,Michigan
8,Big Lake Brewing,Holland,Michigan
9,The Mitten Brewing Company,Grand Rapids,Michigan
10,Brewery Vivant,Grand Rapids,Michigan
11,Petoskey Brewing,Petoskey,Michigan
12,Blackrocks Brewery,Marquette,Michigan
13,Perrin Brewing Company,Comstock Park,Michigan
14,Witch's Hat Brewing Company,South Lyon,Michigan
15,Founders Brewing Company,Grand Rapids,Michigan
16,Flat 12 Bierwerks,Indianapolis,Indiana
17,Tin Man Brewing Company,Evansville,Indiana
18,Black Acre Brewing Co.,Indianapolis,Indiana
19,Brew Link Brewing,Plainfield,Indiana
20,Bare Hands Brewery,Granger,Indiana
21,Three Pints Brewing,Martinsville,Indiana
22,Four Fathers Brewing ,Valparaiso,Indiana
23,Indiana City Brewing,Indianapolis,Indiana
24,Burn 'Em Brewing,Michigan City,Indiana
25,Sun King Brewing Company,Indianapolis,Indiana
26,Evil Czech Brewery,Mishawaka,Indiana
27,450 North Brewing Company,Columbus,Indiana
28,Taxman Brewing Company,Bargersville,Indiana
29,Cedar Creek Brewery,Seven Points,Texas
30,SanTan Brewing Company,Chandler,Arizona
31,Boulevard Brewing Company,Kansas City,Missouri
32,James Page Brewing Company,Stevens Point,Wisconsin
33,The Dudes' Brewing Company,Torrance,California
34,Ballast Point Brewing Company,San Diego,California
35,Anchor Brewing Company,San Francisco,California
36,Figueroa Mountain Brewing Company,Buellton,California
37,Avery Brewing Company,Boulder,Colorado
38,Twisted X Brewing Company,Dripping Springs,Texas
39,Gonzo's BiggDogg Brewing,Kalamazoo,Michigan
40,Big Muddy Brewing,Murphysboro,Illinois
41,Lost Nation Brewing,East Fairfield,Vermont
42,Rising Tide Brewing Company,Portland,Maine
43,Rivertowne Brewing Company,Export,Pennsylvania
44,Revolution Brewing Company,Chicago,Illinois
45,Tallgrass Brewing Company,Manhattan,Kansas
46,Sixpoint Craft Ales,Brooklyn,New York
47,White Birch Brewing,Hooksett,New Hampshire
48,Firestone Walker Brewing Company,Paso Robles,California
49,SweetWater Brewing Company,Atlanta,Georgia
50,Flying Mouse Brewery,Troutville,Virginia
51,Upslope Brewing Company,Boulder,Colorado
52,Pipeworks Brewing Company,Chicago,Illinois
53,Bent Brewstillery,Roseville,Minnesota
54,Flesk Brewing Company,Lombard,Illinois
55,Pollyanna Brewing Company,Lemont,Illinois
56,BuckleDown Brewing,Lyons,Illinois
57,Destihl Brewery,Bloomington,Illinois
58,Summit Brewing Company,St. Paul,Minnesota
59,Latitude 42 Brewing Company,Portage,Michigan
60,4 Hands Brewing Company,Saint Louis,Missouri
61,Surly Brewing Company,Brooklyn Center,Minnesota
62,Against The Grain Brewery,Louisville,Kentucky
63,Crazy Mountain Brewing Company,Edwards,Colorado
64,SlapShot Brewing Company,Chicago,Illinois
65,Mikerphone Brewing,Chicago,Illinois
66,Freetail Brewing Company,San Antonio,Texas
67,3 Daughters Brewing,St Petersburg,Florida
68,Red Shedman Farm Brewery and Hop...,Mt. Airy,Maryland
69,Appalachian Mountain Brewery,Boone,North Carolina
70,Birdsong Brewing Company,Charlotte,North Carolina
71,Union Craft Brewing,Baltimore,Maryland
72,Atwater Brewery,Detroit,Michigan
73,Ale Asylum,Madison,Wisconsin
74,Two Brothers Brewing Company,Warrenville,Illinois
75,Bent Paddle Brewing Company,Duluth,Minnesota
76,Bell's Brewery,Kalamazoo,Michigan
77,Blue Owl Brewing,Austin,Texas
78,Speakasy Ales & Lagers,San Francisco,California
79,Black Tooth Brewing Company,Sheridan,Wyoming
80,Hopworks Urban Brewery,Portland,Oregon
81,Epic Brewing,Denver,Colorado
82,New Belgium Brewing Company,Fort Collins,Colorado
83,Sierra Nevada Brewing Company,Chico,California
84,Keweenaw Brewing Company,Houghton,Michigan
85,Brewery Terra Firma,Traverse City,Michigan
86,Grey Sail Brewing Company,Westerly,Rhode Island
87,Kirkwood Station Brewing Company,Kirkwood,Missouri
88,Goose Island Brewing Company,Chicago,Illinois
89,Broad Brook Brewing LLC,East Windsor,Connecticut
90,The Lion Brewery,Wilkes-Barre,Pennsylvania
91,Madtree Brewing Company,Cincinnati,Ohio
92,Jackie O's Pub & Brewery,Athens,Ohio
93,Rhinegeist Brewery,Cincinnati,Ohio
94,Warped Wing Brewing Company,Dayton,Ohio
95,Blackrocks Brewery,Marquette,Massachusetts
96,Catawba Valley Brewing Company,Morganton,North Carolina
97,Tröegs Brewing Company,Hershey,Pennsylvania
98,Mission Brewery,San Diego,California
99,Christian Moerlein Brewing Company,Cincinnati,Ohio
100,West Sixth Brewing,Lexington,Kentucky
101,Coastal Extreme Brewing Company,Newport,Rhode Island
102,King Street Brewing Company,Anchorage,Alaska
103,Beer Works Brewery,Lowell,Massachusetts
104,Lone Tree Brewing Company,Lone Tree,Colorado
105,Four String Brewing Company,Columbus,Ohio
106,Glabrous Brewing Company,Pineland,Maine
107,Bonfire Brewing Company,Eagle,Colorado
108,Thomas Hooker Brewing Company,Bloomfield,Connecticut
109,"Woodstock Inn, Station & Brewery",North Woodstock,New Hampshire
110,Renegade Brewing Company,Denver,Colorado
111,Mother Earth Brew Company,Vista,California
112,Black Market Brewing Company,Temecula,California
113,Vault Brewing Company,Yardley,Pennsylvania
114,Jailbreak Brewing Company,Laurel,Maryland
115,Smartmouth Brewing Company,Norfolk,Virginia
116,Base Camp Brewing Co.,Portland,Oregon
117,Alameda Brewing,Portland,Oregon
118,Southern Star Brewing Company,Conroe,Texas
119,Steamworks Brewing Company,Durango,Colorado
120,Horny Goat Brew Pub,Milwaukee,Wisconsin
121,Cheboygan Brewing Company,Cheboygan,Michigan
122,Center of the Universe Brewing C...,Ashland,Virginia
123,Ipswich Ale Brewery,Ipswich,Massachusetts
124,Griffin Claw Brewing Company,Birmingham,Michigan
125,Karbach Brewing Company,Houston,Texas
126,Uncle Billy's Brewery and Smokeh...,Austin,Texas
127,Deep Ellum Brewing Company,Dallas,Texas
128,Real Ale Brewing Company,Blanco,Texas
129,Straub Brewery,St Mary's,Pennsylvania
130,Shebeen Brewing Company,Wolcott,Connecticut
131,Stevens Point Brewery,Stevens Point,Wisconsin
132,Weston Brewing Company,Weston,Missouri
133,Southern Prohibition Brewing Com...,Hattiesburg,Mississippi
134,Minhas Craft Brewery,Monroe,Wisconsin
135,Pug Ryan's Brewery,Dillon,Colorado
136,Hops & Grains Brewing Company,Austin,Texas
137,Sietsema Orchards and Cider Mill,Ada,Michigan
138,Summit Brewing Company,St Paul,Minnesota
139,Core Brewing & Distilling Company,Springdale,Arkansas
140,Independence Brewing Company,Austin,Texas
141,Cigar City Brewing Company,Tampa,Florida
142,Third Street Brewhouse,Cold Spring,Minnesota
143,Narragansett Brewing Company,Providence,Rhode Island
144,Grimm Brothers Brewhouse,Loveland,Colorado
145,Cisco Brewers,Nantucket,Massachusetts
146,Angry Minnow,Hayward,Wisconsin
147,Platform Beer Company,Cleveland,Ohio
148,Odyssey Beerwerks,Arvada,Colorado
149,Lonerider Brewing Company,Raleigh,North Carolina
150,Oakshire Brewing,Eugene,Oregon
151,Fort Pitt Brewing Company,Latrobe,Pennsylvania
152,Tin Roof Brewing Company,Baton Rouge,Louisiana
153,Three Creeks Brewing,Sisters,Oregon
154,2 Towns Ciderhouse,Corvallis,Oregon
155,Caldera Brewing Company,Ashland,Oregon
156,Greenbrier Valley Brewing Company,Lewisburg,West Virginia
157,Phoenix Ale Brewery,Phoenix,Arizona
158,Lumberyard Brewing Company,Flagstaff,Arizona
159,Uinta Brewing Company,Salt Lake City,Utah
160,Four Peaks Brewing Company,Tempe,Arizona
161,Martin House Brewing Company,Fort Worth,Texas
