,City,State,Population
1,Portland,Oregon,647924
2,Boulder,Colorado,106447
3,Chicago,Illinois,2711069
4,Seattle,Washington,728661
5,Austin,Texas,951553
6,Denver,Colorado,704961
7,San Diego,California,1412621
8,Bend,Oregon,94557
9,Portland,Maine,66646
10,San Francisco,California,878040
11,Brooklyn,New York,2556539
12,Cincinnati,Ohio,301587
13,Anchorage,Alaska,294338
14,Indianapolis,Indiana,863478
15,Tampa,Florida,391026
16,Stevens Point,Wisconsin,26223
17,Saint Louis,Missouri,308233
18,Santa Cruz,California,64815
19,San Antonio,Texas,1511154
20,Albuquerque,New Mexico,559673
21,Grand Rapids,Michigan,199135
22,Minneapolis,Minnesota,420925
23,Jacksonville,Florida,892025
24,Edwards,Colorado,9202
25,Columbus,Ohio,881694
26,Cleveland,Ohio,385252
27,Charlotte,North Carolina,860002
28,Baltimore,Maryland,610481
29,Traverse City,Michigan,15495
