State,Beer Style,Beer Style
Alaska,Imperial or Double India Pale Ale,11
Arizona,American-Style India Pale Ale,7
Arkansas,Porter,1
California,American-Style Pale Ale,97
Colorado,American-Style Lager,22
Connecticut,American-Style India Pale Ale,1
Delaware,American-Style Pale Ale,6
Florida,American-Style India Pale Ale,4
Georgia,American-Style Pale Ale,3
Hawaii,Porter,6
Idaho,American-Style Amber/Red Ale,2
Illinois,American-Style Pale Ale,29
Indiana,American-Style Pale Ale,14
Iowa,American-Style Lager,9
Kansas,American-Style Brown Ale,2
Kentucky,American-Style Pale Ale,3
Louisiana,American-Style Lager,4
Maine,American-Style Brown Ale,2
Maryland,American-Style Pale Ale,5
Massachusetts,American-Style Pale Ale,12
Michigan,American-Style Pale Ale,23
Minnesota,American-Style Lager,18
Mississippi,American-Style Lager,3
Missouri,American-Style Lager,18
Montana,American-Style Pale Ale,7
Nebraska,American-Style Pale Ale,19
Nevada,American-Style Pale Ale,2
New Hampshire,American-Style India Pale Ale,4
New Jersey,American-Style Pale Ale,10
New Mexico,American-Style India Pale Ale,4
New York,American-Style Pale Ale,13
North Carolina,American-Style Brown Ale,7
Ohio,American-Style Amber/Red Ale,5
Oklahoma,American-Style India Pale Ale,2
Oregon,American-Style India Pale Ale,24
Pennsylvania,American-Style India Pale Ale,37
Rhode Island,American-Style Amber/Red Ale,1
South Carolina,American-Style Lager,7
South Dakota,American-Style Pale Ale,2
Tennessee,American-Style Brown Ale,3
Texas,American-Style Lager,18
Utah,Porter,3
Vermont,American-Style India Pale Ale,10
Virgin Islands,American-Style Pale Ale,1
Virginia,American-Style Pale Ale,3
Washington,American-Style Pale Ale,33
"Washington, DC",American-Style Amber/Red Ale,2
Wisconsin,American-Style Lager,77
Wyoming,American-Style Stout,5
